name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Gardenvale,1006,205410393,Q583980,"en:Gardenvale, Victoria",,260884.0688,26.08840688,2150.835301
Ripponlea,1576,205410390,Q7335744,"en:Ripponlea, Victoria",,287316.8379,28.73168379,2808.842407
Travancore,1700,205410387,Q7835866,"en:Travancore, Victoria",,419827.1357,41.98271357,3200.980653
Princes Hill,2075,205410384,Q7244455,"en:Princes Hill, Victoria",,435461.8003,43.54618003,2879.994851
South Wharf,106,210768089,Q12069696,"en:South Wharf, Victoria",,459564.8774,45.95648774,4216.884776
Kooyong,817,205410383,Q1783858,"en:Kooyong, Victoria",,521322.73,52.132273,2878.158492
St Kilda West,3162,205410381,Q7593916,"en:St Kilda West, Victoria",,526615.0093,52.66150093,3279.836279
Cremorne,2018,205410376,Q5184107,"en:Cremorne, Victoria",,679139.4253,67.91394253,3306.17802
Strathmore Heights,1004,205410377,Q7622144,"en:Strathmore Heights, Victoria",,685022.5659,68.50225659,3900.538048
South Kingsville,,205410375,Q7567622,,,711188.7666,71.11887666,4187.323018
Kingsville,3946,205410373,Q6413698,"en:Kingsville, Victoria",,722785.8906,72.27858906,4135.125553
Essendon North,2987,205410374,Q1368687,"en:Essendon North, Victoria",,733162.2935,73.31622935,4223.225017
Balaclava,5383,205410372,Q4849747,"en:Balaclava, Victoria",,759269.6318,75.92696318,3945.301805
Huntingdale,1862,205410371,Q5945068,"en:Huntingdale, Victoria",,798188.5176,79.81885176,3709.074245
Deepdene,2035,214716891,Q5250574,"en:Deepdene, Victoria",,850176.0083,85.01760083,4662.796502
Middle Park,4143,205410367,Q6841517,"en:Middle Park, Victoria",,869967.8867,86.99678867,4591.370099
Keilor Lodge,1752,205410368,Q6383745,"en:Keilor Lodge, Victoria",,892550.8799,89.25508799,4277.723843
Glen Huntly,5040,205410366,Q5567817,"en:Glen Huntly, Victoria",,893835.1284,89.38351284,3995.465864
Bellfield,1793,205410364,Q4883981,"en:Bellfield, Victoria",,925190.1509,92.51901509,3898.822375
Seddon,4851,205410365,Q7445161,"en:Seddon, Victoria",,954850.4023,95.48504023,4195.578386
Seaholme,1928,205410361,Q7440490,"en:Seaholme, Victoria",,960984.5352,96.09845352,4691.647348
Essendon West,1439,205410357,Q1368695,"en:Essendon West, Victoria",,1025480.727,102.5480727,5161.423831
Eumemmerring,1948,205410355,Q5409549,"en:Eumemmerring, Victoria",,1070268.71,107.026871,5226.426819
Burnley,769,205410353,Q4999948,"en:Burnley, Victoria",,1071657.549,107.1657549,5618.334476
Jacana,1940,205410342,Q14935170,"en:Jacana, Victoria",,1088789.051,108.8789051,4432.079248
Windsor,7069,205410356,Q8024538,"en:Windsor, Victoria",,1108856.077,110.8856077,4934.027611
Powelltown,,205408700,Q7236150,"en:Powelltown, Victoria",,1252626.807,125.2626807,9592.220879
Caulfield East,1584,205410345,Q5054508,"en:Caulfield East, Victoria",,1255662.551,125.5662551,4311.948106
Southbank,18709,205410296,Q1049218,"en:Southbank, Victoria",,1256042.15,125.604215,4675.871835
Collingwood,6467,205410341,Q1109698,"en:Collingwood, Victoria",,1291025.876,129.1025876,4860.969674
Kingsbury,3780,205410344,Q1151185,"en:Kingsbury, Victoria",,1307126.06,130.712606,5113.789385
Briar Hill,3152,205410339,Q4965769,"en:Briar Hill, Victoria",,1334564.124,133.4564124,6822.833131
